===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[11:54:56] 0104_parsec_gd_dpotrf_n14400_b480_rep2
[11:54:58] 0109_parsec_gd_dgeqrf_n7200_b480_rep2
[11:54:59] 0111_parsec_lfq_dgeqrf_n26400_b480_rep2
[11:55:57] 0114_parsec_lfq_dpotrf_n16800_b480_rep2
[11:56:00] 0116_parsec_lfq_dpotrf_n24000_b480_rep2
[11:56:07] 0117_parsec_lfq_dpotrf_n28800_b480_rep2
[11:56:21] 0118_parsec_lfq_dpotrf_n4800_b480_rep2
[11:56:21] 0120_parsec_lfq_dpotrf_n2400_b480_rep2
[11:56:21] 0121_parsec_lfq_dgeqrf_n14400_b480_rep2
[11:56:31] 0122_parsec_lfq_dgeqrf_n9600_b480_rep2
[11:56:34] 0123_parsec_gd_dpotrf_n2400_b480_rep2
[11:56:34] 0124_parsec_lfq_dgeqrf_n2400_b480_rep2
[11:56:35] 0127_parsec_gd_dgeqrf_n26400_b480_rep2
[11:57:31] 0128_parsec_gd_dpotrf_n4800_b480_rep2
[11:57:31] 0129_parsec_gd_dpotrf_n26400_b480_rep2
[11:57:41] 0135_parsec_gd_dpotrf_n24000_b480_rep2
[11:57:49] 0136_parsec_gd_dgeqrf_n2400_b480_rep2
[11:57:49] 0137_parsec_gd_dpotrf_n28800_b480_rep2
[11:58:02] 0142_parsec_lfq_dgeqrf_n28800_b480_rep2
[11:59:16] 0143_parsec_lfq_dgeqrf_n16800_b480_rep2
[11:59:32] 0145_parsec_lfq_dgeqrf_n4800_b480_rep2
[11:59:32] 0148_parsec_gd_dgeqrf_n19200_b480_rep2
[11:59:55] 0150_parsec_lfq_dpotrf_n26400_b480_rep2
[12:00:05] 0152_parsec_lfq_dpotrf_n19200_b480_rep2
[12:00:09] 0153_parsec_gd_dgeqrf_n21600_b480_rep2
[12:00:40] 0155_parsec_gd_dpotrf_n12000_b480_rep2
[12:00:42] 0156_parsec_lfq_dgeqrf_n21600_b480_rep2
[12:01:13] 0160_parsec_gd_dgeqrf_n14400_b480_rep2
[12:01:23] 0162_parsec_gd_dpotrf_n16800_b480_rep2
[12:01:26] 0167_parsec_gd_dpotrf_n7200_b480_rep2
[12:01:26] 0168_parsec_lfq_dpotrf_n9600_b480_rep2
[12:01:27] 0169_parsec_lfq_dpotrf_n12000_b480_rep2
